Date,MaxTemp,MinTemp,avgWind,avgGust,avgHumidity,avgCloud,avgPressure,totalPrecip,totalPrecipTmrw
07-01-2008,30,13,8,13.5,59.5,5.875,1016.25,0,4
07-02-2008,33,20,15.75,24.625,58.375,18.5,1012,4,77
07-03-2008,27,19,10,14.5,85.5,60.625,1013.75,77,0
07-04-2008,27,18,7,10.25,75.625,44.625,1016.25,0,0
07-05-2008,30,12,6.25,10.875,65.25,2.5,1015.125,0,0
07-06-2008,35,18,10,16.5,64.375,8.375,1012.875,0,0
07-07-2008,34,23,12.75,21,59.75,12.625,1013.375,0,1
07-08-2008,30,24,15.625,24.25,65.75,31.75,1013.125,1,12
07-09-2008,29,21,10.5,17.125,81.625,31.875,1015.375,12,0
07-10-2008,32,20,8.125,13,70.125,16,1016.375,0,8
07-11-2008,31,23,12.75,21.25,73,33.625,1014.75,8,2
07-12-2008,29,21,14.5,23.375,77.5,44.75,1014.625,2,2
07-13-2008,29,16,7.875,12.25,64.375,13,1015,2,0
07-14-2008,33,15,6.25,10.625,61.875,2,1015,0,0
07-15-2008,33,18,9.25,15,51.375,9.5,1017.625,0,0
07-16-2008,34,18,8,13.75,52.75,6,1020,0,0
07-17-2008,34,19,8.625,14.875,52.25,1.25,1018.5,0,0
07-18-2008,34,18,12.5,20.5,52.5,13,1014.75,0,0
07-19-2008,32,24,13.625,21,59.125,28.5,1014.5,0,0
07-20-2008,37,24,13.75,22.25,50.75,5.875,1014.75,0,0
07-21-2008,37,23,10.875,19,49.75,6.625,1013.5,0,1
07-22-2008,35,21,6.875,12.875,63.125,20.625,1013.5,1,2
07-23-2008,31,21,10,15,67.375,32.125,1016.75,2,4
07-24-2008,22,19,10.5,18.75,74.25,36.25,1016.875,4,8
07-25-2008,31,21,9.625,14.25,83.625,39.875,1015.5,8,1
07-26-2008,33,23,7.125,11.375,74.375,36.5,1014.625,1,0
07-27-2008,33,21,9.75,15.5,66.125,21.625,1012.125,0,0
07-28-2008,37,23,8.125,13.875,58.125,16.75,1009.75,0,0
07-29-2008,38,23,8.375,14.375,54.5,11.25,1010.25,0,21
07-30-2008,23,21,7.25,13,93.375,47.125,1009.25,21,1
07-31-2008,34,20,4.375,7.75,73.125,27.625,1008.875,1,0
08-01-2008,36,22,8.25,13.75,66.125,2.25,1010,0,0
08-02-2008,34,23,6.625,10.875,65.5,1.75,1011.25,0,0
08-03-2008,37,21,9.625,16.625,55.25,6.25,1012.5,0,0
08-04-2008,39,24,11,17.5,51.375,3.75,1013,0,1
08-05-2008,39,24,9.75,16.625,54.375,10.625,1014.625,1,3
08-06-2008,32,22,5.875,9.75,71.375,17.75,1016.625,3,0
08-07-2008,29,20,8.375,13.625,61,12.875,1016.375,0,0
08-08-2008,28,16,7.625,12.625,62.375,7.125,1016.25,0,0
08-09-2008,28,15,5.625,9.125,68.75,13.5,1014.125,0,0
08-10-2008,30,16,7.125,11.375,68.625,20.625,1013.125,0,0
08-11-2008,28,17,10.75,17,59,12.625,1014.25,0,0
08-12-2008,31,16,5.5,9.625,57,12.5,1010.375,0,0
08-13-2008,29,17,7.25,11.75,65.125,22.375,1010.125,0,3
08-14-2008,31,16,6.375,11.25,70.25,26.875,1012.75,3,4
08-15-2008,28,18,6.25,10.25,75.375,33.25,1017.375,4,0
08-16-2008,27,16,9,14.875,58.625,6.125,1020.375,0,0
08-17-2008,30,13,4.875,8.75,61.75,2.875,1018.125,0,0
08-18-2008,30,13,5,9.375,59.375,3.75,1016.375,0,0
08-19-2008,28,14,7.25,12.25,59.125,14,1016.875,0,3
08-20-2008,27,18,9.625,17.875,74.125,57.25,1016.5,3,6
08-21-2008,25,18,9.875,16.625,93.375,69.125,1013.625,6,7
08-22-2008,30,21,11.875,19,85.5,40.125,1014.5,7,0
08-23-2008,35,20,5.125,9.125,74.375,36,1017.25,0,0
08-24-2008,29,20,11.125,17.75,64.75,5.75,1016.375,0,0
08-25-2008,27,15,11.25,17.75,62.125,2.5,1014.625,0,0
08-26-2008,29,14,7.625,13.5,69.75,4.5,1012.25,0,0
08-27-2008,32,16,4.25,7.375,68.5,5.75,1012,0,0
08-28-2008,35,19,10.75,19.125,62,10,1009.875,0,1
08-29-2008,30,20,9.125,15,69.25,24.375,1013.875,1,0
08-30-2008,30,15,9.125,15.75,57.875,0,1017.875,0,0
08-31-2008,32,16,7.25,12.5,57.75,10.625,1017.125,0,0
09-01-2008,34,21,9.875,15.625,61.25,13,1014.75,0,0
09-02-2008,30,21,9,15,73.375,28.375,1014.625,0,27
09-03-2008,21,19,12.625,20.125,96.375,85.75,1014.25,27,105
09-04-2008,20,16,17.25,26.625,96.75,100,1005.875,105,0
09-05-2008,23,13,6.75,10,76.375,32.125,1014.5,0,0
09-06-2008,22,10,5.375,9.25,79.5,17.75,1016.875,0,0
09-07-2008,26,16,4,7,78.375,36.75,1018.375,0,3
09-08-2008,29,16,13,19.875,81.625,51.125,1017.625,3,0
09-09-2008,22,12,11.125,16,74.5,41,1020.25,0,0
09-10-2008,27,12,9.125,15.375,63.875,23.375,1018.875,0,2
09-11-2008,24,16,7.25,13.75,89.875,61.375,1016.875,2,18
09-12-2008,30,21,7.75,13.375,84.75,35.5,1013.5,18,7
09-13-2008,30,23,16.25,25.125,81.5,40,1008,7,130
09-14-2008,19,14,22.75,32.75,83.75,79.625,1006.25,130,0
09-15-2008,19,10,9.625,14.5,80.25,24.75,1021.125,0,0
09-16-2008,22,7,5.375,9.75,77,25,1023.75,0,0
09-17-2008,25,7,5.875,10.125,72.625,0.125,1022.75,0,0
09-18-2008,26,11,6.375,11.375,70.375,5.125,1022.875,0,0
09-19-2008,27,14,7,12.625,66,25.25,1020.75,0,2
09-20-2008,23,15,8.375,13.625,83.375,30.625,1020.25,2,2
09-21-2008,23,15,8.25,14.25,88,39.375,1022.375,2,0
09-22-2008,26,13,7.625,13.375,75.5,16.125,1023.875,0,0
09-23-2008,29,14,6.375,11.75,66.125,9.125,1023.625,0,0
09-24-2008,29,15,6.125,11.25,68,5.125,1023.875,0,0
09-25-2008,28,16,8.5,15.375,66.875,10,1022.875,0,0
09-26-2008,27,12,7.25,12.375,65,0.25,1019.25,0,0
09-27-2008,26,10,6.125,10.375,67.125,0.5,1017.375,0,0
09-28-2008,28,12,4.875,9,71.625,14.875,1018.5,0,3
09-29-2008,27,15,9,14.875,80.25,18,1017,3,0
09-30-2008,19,10,13.125,21.125,69.625,3.75,1018.25,0,0
10-01-2008,22,9,11,18.625,67.875,7.875,1015.875,0,0
10-02-2008,18,5,7,12.25,74.75,0,1016.875,0,0
10-03-2008,23,8,5.625,10.5,72.75,0,1016.25,0,0
10-04-2008,24,8,9.125,15.5,66.375,3.375,1019,0,0
10-05-2008,26,13,12.625,22.75,58.125,4.25,1019.5,0,0
10-06-2008,26,15,15.625,26.5,57,18,1018,0,1
10-07-2008,22,16,14.375,22.25,85.625,67.625,1013.25,1,0
10-08-2008,20,11,9.375,14.5,72,15.625,1014.5,0,0
10-09-2008,24,8,7.875,13.875,65.125,0.25,1017.375,0,0
10-10-2008,24,11,12,20.375,65,27.875,1017.625,0,0
10-11-2008,27,15,10.875,18.75,76.375,5.75,1021,0,0
10-12-2008,27,17,12.875,21.25,75.875,30.75,1022,0,0
10-13-2008,24,18,12,20,79.875,51.75,1022.625,0,0
10-14-2008,23,16,6.375,10.625,84.125,66.125,1022.875,0,2
10-15-2008,23,11,14.5,22,90.625,60,1019,2,0
10-16-2008,15,7,11.625,18.25,71.75,6,1025,0,0
10-17-2008,16,3,4.875,9.625,78.25,30.125,1023.5,0,0
10-18-2008,16,6,8.875,15.25,75.625,37.25,1025.5,0,0
10-19-2008,19,7,14.375,24.875,66,3.625,1024,0,0
10-20-2008,21,9,12.125,20.5,77.25,24.5,1022.5,0,0
10-21-2008,16,11,16.375,23.625,72,52.625,1024,0,0
10-22-2008,18,10,24.125,36.5,48.375,23.25,1019.125,0,17
10-23-2008,13,9,13.375,19.5,76,41.375,1018.25,17,0
10-24-2008,9,7,13.5,19.75,82.75,63,1015.625,0,0
10-25-2008,16,4,15.625,25.5,71.375,8.25,1014.625,0,0
10-26-2008,17,4,22.75,36.875,53.875,4.875,1018.375,0,0
10-27-2008,8,1,17.625,27.25,57.375,11.375,1030.875,0,0
10-28-2008,9,-1,9,14.875,62.375,1.75,1032.625,0,0
10-29-2008,16,2,8.25,13.875,61,0.25,1025.375,0,0
10-30-2008,21,7,13,22.625,59.75,0.5,1025.5,0,0
10-31-2008,22,13,15.375,26.375,68.25,18.625,1026.75,0,0
11-01-2008,22,15,10,16.75,76,36.625,1024.75,0,0
11-02-2008,23,13,12.375,20.75,73.875,37.25,1022.125,0,0
11-03-2008,22,13,15.875,26.375,63.5,22.5,1021.25,0,0
11-04-2008,21,11,15.25,26,53.625,4.625,1019.25,0,0
11-05-2008,22,13,22.75,36.125,61.75,7.25,1012.25,0,2
11-06-2008,17,10,22.5,34.25,62,18.625,1009,2,0
11-07-2008,8,4,16.5,23.5,60.5,29,1012.375,0,0
11-08-2008,5,0,15.5,21,68.25,62.625,1013.5,0,0
11-09-2008,6,-3,9.125,13,68.875,22.875,1019.125,0,0
11-10-2008,8,-3,9.75,17.25,68.5,36.25,1023,0,12
11-11-2008,12,5,19.375,30.5,85,70.375,1018.25,12,0
11-12-2008,14,9,10.125,14.875,85.375,65.5,1014.375,0,0
11-13-2008,17,5,16.375,27.625,74.25,11.75,1009.875,0,11
11-14-2008,12,6,18,27.875,87.875,83.25,1007.375,11,0
11-15-2008,2,1,23.75,32.375,76.375,92.25,1019.125,0,0
11-16-2008,12,-2,15.75,25.125,70.625,10.25,1021.375,0,0
11-17-2008,7,0,13.375,19.875,66.5,28.25,1028.875,0,0
11-18-2008,5,-4,9.875,16.75,56.5,4,1034.25,0,0
11-19-2008,14,0,18.625,30.5,67,10.375,1020.375,0,0
11-20-2008,3,-3,18.5,26.75,70.625,29.875,1029.375,0,0
11-21-2008,2,-6,8.25,13.625,44.75,2.875,1036.25,0,0
11-22-2008,6,-4,16,25.75,43.25,10,1031.375,0,0
11-23-2008,12,-3,15.25,25.375,67.5,27.5,1023.625,0,0
11-24-2008,8,4,19.5,29.5,74.125,49.625,1018.75,0,0
11-25-2008,8,-1,7.5,13.875,61.125,0.625,1022.5,0,0
11-26-2008,13,2,6.625,12.125,75.375,4.75,1017.25,0,0
11-27-2008,12,0,8.375,15.375,69.625,12.25,1018,0,0
11-28-2008,10,4,7.375,12,54.5,47.375,1017.75,0,1
11-29-2008,7,4,7.25,11.375,59.75,71,1009.375,1,3
11-30-2008,2,0,16.125,22.5,89.125,100,998.875,3,2
12-01-2008,0,-3,19,26.375,82.375,73.25,1011.25,2,0
12-02-2008,6,-4,18,32.125,81.5,7.75,1017.375,0,4
12-03-2008,7,-3,21.125,34.625,86.125,67.625,1015.5,4,0
12-04-2008,1,-6,13.125,18.25,63.375,23.5,1031.875,0,0
12-05-2008,1,-7,9.875,15.25,45.125,26.125,1030.5,0,0
12-06-2008,5,-4,22.625,35,60,46,1018.25,0,0
12-07-2008,4,-8,15.625,23.125,61.125,27.125,1024.5,0,0
12-08-2008,10,3,27.25,45,72.375,41.375,1012,0,11
12-09-2008,13,-1,24.375,36.75,91,100,1008.875,11,1
12-10-2008,1,-3,16.25,23,77.75,47.25,1023.5,1,0
12-11-2008,6,-4,11.625,18.125,63,21.5,1019.5,0,0
12-12-2008,5,-1,10.625,18.25,76.125,37.875,1023.75,0,0
12-13-2008,7,1,35,58.125,76.125,76.125,1013.875,0,7
12-14-2008,13,0,34.5,52.75,86.375,92.5,1007.375,7,5
12-15-2008,-7,-10,18.75,23,58.625,54.875,1032.375,5,0
12-16-2008,-5,-10,12,16.125,80.125,95.375,1028.25,0,0
12-17-2008,-2,-6,7.25,11.25,81.75,38,1024.875,0,3
12-18-2008,4,-4,10.625,19,93.375,53.875,1023.125,3,6
12-19-2008,10,-1,23.25,38,90.125,66.25,1014,6,0
12-20-2008,5,-7,18.375,25,85,80,1015.625,0,0
12-21-2008,-9,-14,26.5,33.75,48.875,14.625,1030,0,0
12-22-2008,-5,-15,12.25,17.625,48.75,23.125,1033.875,0,7
12-23-2008,2,-6,28.875,43.5,61.875,98.875,1017.75,7,2
12-24-2008,6,-4,17.875,28.25,89.625,61.625,1016.875,2,0
12-25-2008,5,-5,16.25,26.75,63.125,7.75,1026.125,0,0
